Date,Open,High,Low,Close,Volume
2022-04-03,14376,14925.25,14371.9,14446.48,0
2022-04-10,14503.96,14603.44,14027.18,14283.67,0
2022-04-17,14162.97,14298.02,13887.11,14163.85,0
2022-04-24,14057.43,14598.11,13991.7,14142.09,0
2022-05-01,13908.05,14187.02,13566.2,14097.88,0
2022-05-08,13996.82,14315.24,13592.15,13674.29,0
2022-05-15,13624.92,14034.15,13380.67,14027.93,0
2022-05-22,13986.17,14226.47,13683.59,13981.91,0
2022-05-29,14179.84,14463.5,13871.48,14462.19,0
2022-06-05,14572.8,14589.91,14329.51,14460.09,0
2022-06-12,14576.87,14709.38,13749.77,13761.83,0
2022-06-19,13564.47,13648.84,13007.91,13126.26,0
2022-06-26,13207.79,13443.77,12904.86,13118.13,0
2022-07-03,13217.9,13378.42,12618.68,12813.03,0
2022-07-10,12904.09,13019.13,12390.95,13015.23,0
2022-07-17,12783.09,12934.87,12434.29,12864.72,0
2022-07-24,12935.05,13399.4,12827.89,13253.68,0
2022-07-31,13183.24,13515.03,13042.41,13484.05,0
2022-08-07,13471.2,13792.88,13335.39,13573.93,0
2022-08-14,13703.38,13813.05,13455.7,13795.85,0
2022-08-21,13847.88,13947.85,13525.69,13544.52,0
2022-08-28,13471.44,13510.29,12939.96,12971.47,0
2022-09-04,12838.42,13154.15,12603.58,13050.27,0
2022-09-11,12827.58,13121.13,12617.4,13088.21,0
2022-09-18,13171.92,13564.83,12699.22,12741.26,0
2022-09-25,12685.29,12936.57,12180.76,12284.19,0
2022-10-02,12231.84,12414.09,11862.84,12114.36,0
2022-10-09,11951.84,12673.35,11893.94,12273,0
2022-10-16,12175.52,12676.42,12000.43,12437.81,0
2022-10-23,12467.54,12931.76,12398.05,12730.9,0
2022-10-30,12868.77,13259.49,12747.38,13243.33,0
2022-11-06,13254.31,13542.35,13022.64,13459.85,0
2022-11-13,13398.79,14263.53,13391,14224.86,0
2022-11-20,14295.81,14457.76,14149.7,14431.86,0
2022-11-27,14395.53,14571.66,14321.84,14541.38,0
2022-12-04,14471.1,14584.59,14327.04,14529.39,0
2022-12-11,14487.43,14507.16,14196.77,14370.72,0
2022-12-18,14300.43,14675.84,13815.24,13893.07,0
2022-12-25,13934.75,14160.87,13791.52,13940.93,0
2023-01-01,14047.42,14071.72,13871.32,13923.59,0
2023-01-08,13992.71,14610.23,13976.44,14610.02,0
2023-01-15,14650.73,15132.37,14628.61,15086.52,0
2023-01-22,15112.05,15269.71,14906.27,15033.56,0
2023-01-29,15077.4,15186.49,14969.65,15150.03,0
2023-02-05,15070.3,15520.97,14988.98,15476.43,0
2023-02-12,15367.04,15658.56,15246.39,15307.98,0
2023-02-19,15322.06,15634.04,15300.42,15482,0
2023-02-26,15524.16,15552.77,15162.48,15209.74,0
2023-03-05,15351.63,15590.44,15150.67,15578.39,0
2023-03-12,15597.9,15706.37,15316.38,15427.97,0
2023-03-19,15435.16,15435.81,14664.17,14768.2,0
2023-03-26,14715.4,15298.49,14458.39,14957.23,0
2023-04-02,15133.68,15659.06,15020.07,15628.84,0
2023-04-09,15623.45,15736.56,15482.88,15597.89,0
2023-04-16,15710.45,15841.47,15625.79,15807.5,0
2023-04-23,15838.89,15916.28,15706.83,15881.66,0
2023-04-30,15852.27,15922.38,15688.17,15922.38,0
2023-05-07,15950.36,16011.56,15662.32,15961.02,0
2023-05-14,15967.57,15996.16,15754.76,15913.82,0
2023-05-21,15966.96,16331.94,15862.15,16275.38,0
2023-05-28,16235.98,16267.93,15726.5,15983.97,0
2023-06-04,16064.13,16079.73,15629.12,16051.23,0
2023-06-11,16079.86,16114.84,15909.85,15949.84,0
2023-06-18,16052.91,16427.42,16021.55,16357.63,0
2023-06-25,16272.21,16302.29,15733.12,15829.94,0
2023-07-02,15874.15,16176.55,15713.7,16147.9,0
2023-07-09,16187.91,16209.29,15456.16,15603.4,0
2023-07-16,15585.34,16185.11,15545.33,16105.07,0
2023-07-23,16013.52,16240.79,15995.45,16177.22,0
2023-07-30,16126.71,16490.13,16000.04,16469.75,0
2023-08-06,16434.66,16528.97,15784.52,15951.86,0
2023-08-13,15877.54,16060.27,15706.31,15832.17,0
2023-08-20,15818.21,15937.78,15468.65,15574.26,0
2023-08-27,15573.95,15896.74,15571.82,15631.82,0
